Date	Sales	Returns
01.01.2012	5549	901
02.01.2012	4285	684
03.01.2012	3950	1534
04.01.2012	3996	1641
05.01.2012	4413	1151
06.01.2012	4220	1772
07.01.2012	5281	1287
08.01.2012	5214	1141
09.01.2012	4097	1054
10.01.2012	3757	1583
11.01.2012	4307	1321
12.01.2012	4380	1155
13.01.2012	4075	1876
14.01.2012	4984	1360
15.01.2012	4625	1708
16.01.2012	3706	1589
17.01.2012	3782	1485
18.01.2012	4263	1395
19.01.2012	3901	1336
20.01.2012	4376	1306
21.01.2012	5661	633
22.01.2012	5299	1060
23.01.2012	3587	1593
24.01.2012	3742	1361
25.01.2012	3516	1881
26.01.2012	3657	1534
27.01.2012	4107	1444
28.01.2012	5166	1173
29.01.2012	5031	1311
30.01.2012	3241	1942
31.01.2012	3794	1287
01.02.2012	3987	949
02.02.2012	3841	1223
03.02.2012	4489	988
04.02.2012	5628	946
05.02.2012	4295	1698
06.02.2012	3259	1738
07.02.2012	3582	1186
08.02.2012	3878	1060
09.02.2012	4423	570
10.02.2012	4431	929
11.02.2012	5229	1130
12.02.2012	5357	831
13.02.2012	4260	1527
14.02.2012	6659	61
15.02.2012	3800	1530
16.02.2012	3960	1001
17.02.2012	4609	992
18.02.2012	4848	1877
19.02.2012	4972	1273
20.02.2012	3215	1478
21.02.2012	3789	796
22.02.2012	3695	1311
23.02.2012	3844	1322
24.02.2012	4438	1086
25.02.2012	4395	1755
26.02.2012	4973	1259
27.02.2012	3390	1213
28.02.2012	3795	1158
29.02.2012	3842	1024
01.03.2012	4135	995
02.03.2012	4592	674
03.03.2012	5335	1162
04.03.2012	5604	622
05.03.2012	3487	1251
06.03.2012	3854	1095
07.03.2012	4368	616
08.03.2012	4263	856
09.03.2012	4953	336
10.03.2012	5715	704
11.03.2012	5598	551
12.03.2012	3941	1038
13.03.2012	4048	1060
14.03.2012	3883	1181
15.03.2012	4491	844
16.03.2012	4594	1082
17.03.2012	4131	796
18.03.2012	5677	1262
19.03.2012	3805	940
20.03.2012	4395	675
21.03.2012	5026	707
22.03.2012	4975	449
23.03.2012	5295	942
24.03.2012	5167	779
25.03.2012	5166	1077
26.03.2012	2709	1196
27.03.2012	1761	1683
28.03.2012	2723	1188
29.03.2012	3348	303
30.03.2012	4623	1091
31.03.2012	4037	1018
01.04.2012	4088	589
02.04.2012	2617	1122
03.04.2012	3023	926
04.04.2012	2706	1401
05.04.2012	2830	1240
06.04.2012	3316	1041
07.04.2012	3348	1204
08.04.2012	4428	892
09.04.2012	2498	1213
10.04.2012	2712	1313
11.04.2012	3136	818
12.04.2012	3088	888
13.04.2012	3198	1039
14.04.2012	3595	922
15.04.2012	3953	743
16.04.2012	2476	1235
17.04.2012	2900	845
18.04.2012	2827	876
19.04.2012	3146	605
20.04.2012	3377	838
21.04.2012	3394	970
22.04.2012	3905	980
23.04.2012	2528	1058
24.04.2012	2751	819
25.04.2012	3050	798
26.04.2012	3207	772
27.04.2012	3271	1055
28.04.2012	3536	945
29.04.2012	3774	1056
30.04.2012	2954	698
01.05.2012	4732	701
02.05.2012	4151	1152
03.05.2012	4833	369
04.05.2012	4881	1188
05.05.2012	4563	1440
06.05.2012	5394	1295
07.05.2012	4018	913
08.05.2012	4112	955
09.05.2012	4315	902
10.05.2012	4869	777
11.05.2012	4844	1476
12.05.2012	5278	891
13.05.2012	7177	545
14.05.2012	3609	1371
15.05.2012	4596	729
16.05.2012	4910	683
17.05.2012	5297	768
18.05.2012	5306	890
19.05.2012	5362	931
20.05.2012	5483	741
21.05.2012	3884	1133
22.05.2012	4569	876
23.05.2012	4568	914
24.05.2012	5522	227
25.05.2012	5481	959
26.05.2012	5617	1070
27.05.2012	4964	1623
28.05.2012	3782	1334
29.05.2012	4148	1221
30.05.2012	4465	731
31.05.2012	4885	546
01.06.2012	6633	2869
02.06.2012	5081	1212
03.06.2012	4951	1540
04.06.2012	4124	1023
05.06.2012	4156	1406
06.06.2012	4261	1465
07.06.2012	3967	1760
08.06.2012	4510	1099
09.06.2012	4355	1772
